fixture_id,fixture_type,expected_security_intent,html_score,reasons
plain_benign,benign_static,benign page without collection form,0,
benign_search,benign_search_form,benign search interaction,0,
benign_contact,benign_contact_form,benign contact collection,0,
benign_newsletter,benign_newsletter_form,benign newsletter subscription,0,
login_form,credential_form,credential collection,20,Password input field detected
external_credential,external_credential_form,credential collection to different origin,30,Password input field detected | Credential form submits to an external destination
suspicious_password,suspicious_language,credential collection with account language,20,Password input field detected
hidden_iframe,hidden_iframe,embedded hidden content,10,iframe detected
iframe_text_only,iframe_text_only,text mentions iframe without element,0,
iframe_comment_only,iframe_comment_only,comment mentions iframe without element,0,
iframe_script_only,iframe_script_only,script mentions iframe without element,0,
eval_text_only,eval_text_only,text mentions eval without executable script,0,
eval_comment_only,eval_comment_only,comment mentions eval without executable script,0,
eval_code_only,eval_code_only,code block mentions eval without executable script,0,
eval_attribute_only,eval_attribute_only,attribute mentions eval without executable script,0,
eval_executable_script,eval_executable_script,executable script calls eval,15,Potentially dangerous JavaScript detected
eval_whitespace_script,eval_whitespace_script,executable script calls eval with whitespace,15,Potentially dangerous JavaScript detected
eval_json_script,eval_json_script,non-executable JSON script contains eval text,0,
multiple_noncredential_forms,multiple_forms,multiple benign forms without credentials,0,
fake_banking_login,banking_login_replica,controlled phishing-like credential page,45,Suspicious keyword detected: verify your account | Suspicious keyword detected: bank login | Suspicious keyword detected: confirm identity | Password input field detected | Credential form submits to an external destination
